topicName,questionPostDate,0
ACA,8/9/2013,4
ACA,9/8/2013,3
ACA,9/22/2013,3
ACA,10/24/2013,1
ACA,11/5/2013,3
ACA,3/16/2014,1
ACA,3/27/2014,4
AIDS,7/1/2010,2
AIDS,8/20/2010,3
AIDS,10/10/2012,4
AIDS,10/28/2012,12
AIDS,1/22/2013,3
AIDS,2/7/2013,4
AIDS,3/16/2013,16
AIDS,5/30/2013,2
AIDS,6/3/2013,125
AIDS,8/1/2013,12
AIDS,8/2/2013,45
AIDS,8/22/2013,2
AIDS,12/3/2013,2
AIDS,1/7/2014,4
AIDS,3/11/2014,5
AIDS,4/9/2014,4
AIDS,5/14/2014,2
AIDS,5/20/2014,2
AIDS,8/23/2014,3
AIDS,9/20/2014,2
ANA Test,8/12/2010,1
Abdominal Hernia,6/7/2014,3
Abdominal Muscles,10/15/2012,20
Abdominal Muscles,12/3/2012,5
Abdominal Obesity,8/13/2010,4
Abdominal Obesity,9/24/2010,1
Abdominal Obesity,12/4/2012,3
Abdominal Obesity,5/19/2013,3
Abdominal Obesity,9/21/2014,1
Abdominal Pain,9/1/2010,4
Abdominal Pain,10/9/2012,20
Abdominal Pain,11/14/2012,5
Abdominal Pain,11/15/2012,7
Abdominal Pain,11/21/2012,4
Abdominal Pain,11/22/2012,2
Abdominal Pain,11/25/2012,5
Abdominal Pain,12/3/2012,3
Abdominal Pain,12/5/2012,4
Abdominal Pain,12/12/2012,5
Abdominal Pain,12/13/2012,4
Abdominal Pain,1/3/2013,5
Abdominal Pain,1/10/2013,4
Abdominal Pain,1/23/2013,5
Abdominal Pain,1/27/2013,5
Abdominal Pain,2/1/2013,100
Abdominal Pain,2/2/2013,5
Abdominal Pain,2/26/2013,4
Abdominal Pain,6/21/2013,5
Abdominal Pain,7/27/2013,2
Abdominal Pain,7/28/2013,4
Abdominal Pain,9/5/2013,2
Abdominal Pain,9/9/2013,5
Abdominal Pain,9/17/2013,5
Abdominal Pain,10/7/2013,5
Abdominal Pain,10/24/2013,1
Abdominal Pain,11/3/2013,5
Abdominal Pain,11/6/2013,5
Abdominal Pain,11/22/2013,5
Abdominal Pain,11/29/2013,20
Abdominal Pain,12/18/2013,3
Abdominal Pain,12/26/2013,5
Abdominal Pain,1/1/2014,47
Abdominal Pain,1/9/2014,5
Abdominal Pain,1/28/2014,3
Abdominal Pain,2/9/2014,4
Abdominal Pain,2/12/2014,2
Abdominal Pain,2/20/2014,3
Abdominal Pain,3/4/2014,8
Abdominal Pain,3/20/2014,5
Abdominal Pain,5/4/2014,20
Abdominal Pain,5/5/2014,5
Abdominal Pain,5/24/2014,3
Abdominal Pain,6/9/2014,5
Abdominal Pain,6/21/2014,5
Abdominal Pain,6/29/2014,5
Abdominal Pain,8/2/2014,5
Abdominal Pain,9/30/2014,20
Abdominal Pain,10/14/2014,1
Abdominal Pain,11/14/2014,3
Abdominal Pain,11/25/2014,3
Abdominal Pain,12/10/2014,3
Abdominal Surgery,11/24/2012,3
Abdominal Surgery,12/12/2012,5
Ablation,7/19/2010,3
Ablation,8/31/2010,2
Ablation,10/11/2012,2
Ablation,10/12/2012,3
Ablation,10/17/2012,5
Ablation,10/24/2012,5
Ablation,6/2/2013,100
Ablation,8/15/2013,2
Ablation,7/9/2014,2
Ablation,7/29/2014,2
Ablation,10/29/2014,1
Abortion,2/19/2013,12
Abortion,2/20/2013,1
Abortion,3/11/2013,3
Abortion,3/29/2013,3
Abortion,3/31/2013,125
Abortion,8/13/2013,3
Abortion,9/13/2013,3
Abortion,12/3/2013,5
Abortion,12/12/2013,1
Abortion,2/2/2014,3
Abortion,2/13/2014,5
Abortion,2/28/2014,1
Abortion,3/14/2014,2
Abortion,3/27/2014,3
Abortion,5/5/2014,5
Abortion,5/9/2014,4
Abortion,8/1/2014,3
Abortion,8/11/2014,1
Abortion,8/13/2014,2
Abortion,9/9/2014,2
Abortion,10/16/2014,3
Abortion,10/31/2014,5
Abortion,11/25/2014,4
Abortion,12/6/2014,4
Abscess,10/30/2012,5
Abscess,11/17/2012,2
Abscess,2/16/2013,5
Abscess,4/8/2013,10
Abscess,4/10/2013,5
Abscess,8/9/2013,3
Abscess,12/27/2013,4
Abscess,2/20/2014,4
Abscess,3/3/2014,3
Abscess,4/14/2014,1
Abscess,4/30/2014,5
Abscess,5/10/2014,2
Abscess,5/31/2014,3
Abscess,8/22/2014,2
Abscess,9/2/2014,5
Abscess,10/29/2014,1
Abscess,11/17/2014,5
Abscess,12/9/2014,4
Abstinence,8/31/2013,3
Ace Inhibitor,11/27/2012,2
Ace Inhibitor,3/7/2013,5
Acetaminophen,8/20/2010,17
Acetaminophen,8/23/2010,1
Acetaminophen,10/9/2012,5
Acetaminophen,11/10/2012,2
Acetaminophen,11/11/2012,5
Acetaminophen,11/28/2012,80
Acetaminophen,11/29/2012,1
Acetaminophen,12/7/2012,2
Acetaminophen,12/8/2012,5
Acetaminophen,12/16/2012,2
Acetaminophen,12/17/2012,2
Acetaminophen,12/20/2012,4
Acetaminophen,12/21/2012,5
Acetaminophen,1/20/2013,3
Acetaminophen,2/13/2013,2
Acetaminophen,2/17/2013,5
Acetaminophen,3/1/2013,5
Acetaminophen,3/8/2013,5
Acetaminophen,3/15/2013,5
Acetaminophen,3/19/2013,1
Acetaminophen,3/27/2013,5
Acetaminophen,4/2/2013,36
Acetaminophen,4/19/2013,5
Acetaminophen,5/3/2013,4
Acetaminophen,5/13/2013,2
Acetaminophen,6/3/2013,78
Acetaminophen,6/13/2013,2
Acetaminophen,6/15/2013,5
Acetaminophen,7/21/2013,5
Acetaminophen,7/27/2013,20
Acetaminophen,8/4/2013,5
Acetaminophen,8/6/2013,5
Acetaminophen,9/27/2013,27
Acetaminophen,11/27/2013,3
Acetaminophen,12/4/2013,1
Acetaminophen,12/30/2013,2
Acetaminophen,1/3/2014,1
Acetaminophen,1/18/2014,4
Acetaminophen,1/21/2014,3
Acetaminophen,1/30/2014,2
Acetaminophen,2/18/2014,2
Acetaminophen,5/1/2014,12
Acetaminophen,5/22/2014,1
Acetaminophen,5/29/2014,5
Acetaminophen,8/7/2014,1
Acetaminophen,11/29/2014,5
Acetone,9/26/2013,12
Acetone,3/10/2014,5
Achilles Tendon,6/22/2013,12
Achilles Tendon,7/25/2013,5
Achilles Tendon,8/21/2013,1
Achilles Tendon,2/7/2014,1
Acne,8/26/2010,1
Acne,8/30/2010,5
Acne,9/3/2010,4
Acne,10/14/2012,4
Acne,10/18/2012,8
Acne,10/25/2012,3
Acne,10/31/2012,5
Acne,11/1/2012,12
Acne,11/11/2012,5
Acne,11/12/2012,9
Acne,11/22/2012,3
Acne,11/23/2012,36
Acne,11/26/2012,1
Acne,12/2/2012,2
Acne,12/10/2012,20
Acne,12/19/2012,47
Acne,12/22/2012,20
Acne,12/23/2012,5
Acne,12/27/2012,45
Acne,12/30/2012,5
Acne,1/7/2013,28
Acne,1/22/2013,5
Acne,1/23/2013,5
Acne,1/26/2013,2
Acne,1/30/2013,4
Acne,1/31/2013,80
Acne,2/4/2013,97
Acne,2/19/2013,45
Acne,2/23/2013,16
